size,mflop
31,3221.51
32,3343.42
96,3583.92
97,3570.24
127,3742.21
128,3764.79
129,3684.57
191,3746.73
192,3660.51
229,3715.69
255,3696.76
256,4013.39
257,3935.84
319,4084.93
320,3816.68
321,4014.52
417,4129.47
479,3864.48
480,4138.19
511,4067.58
512,3862.38
639,3508.35
640,3624.89
767,3318.83
768,3259.88
769,3067.95
1023,3113.84
1024,2948.04
1025,3127.47
1525,3118.43
1526,3072.47
1527,3052.5
