size,mflop
31,11983.1
32,13581.1
96,28842.3
97,26998.3
127,27047.6
128,26959.3
129,27537.1
191,27774.8
192,32633.4
229,32660.9
255,32433.1
256,32299.8
257,32309.3
319,31743.7
320,31879
321,32922.6
417,32191
479,31733.6
480,33185.7
511,31811.3
512,32533.9
639,31593.9
640,33003.8
767,29350.2
768,31555.1
769,28952.6
1023,31649.1
1024,32866.2
1025,29588.1
1525,32023.2
1526,31672.7
1527,31424.1
