size,mflop
31,2251.38
32,1960.46
96,1846.91
97,2108.72
127,2021.04
128,1848.22
129,2028.99
191,1960.04
192,1804.59
229,1871.72
255,1909.12
256,987.744
257,1918.21
319,1922.01
320,1836.33
321,1911.4
417,1962.4
479,1773.68
480,1800.13
511,1799.45
512,898.339
639,1585.68
640,798.268
767,1538.91
768,792.588
769,1515.02
1023,1327.52
1024,218.933
1025,1373.78
1525,239.144
1526,239.214
1527,239.685
