size,mflop
31,2335.31
32,2061.16
96,2097.89
97,2515.19
127,2584.44
128,2130.74
129,2539.6
191,2529.72
192,2272.17
229,2618.15
255,2564.41
256,1816.26
257,2524.61
319,2566.89
320,2120.07
321,2412.34
417,2308.37
479,2446.1
480,2121.9
511,2252.26
512,1307.84
639,2390.79
640,2027.42
767,2294.18
768,1557.24
769,2413.74
1023,2234.12
1024,1235.26
1025,2193.94
1525,2363.2
1526,2305.93
1527,2342.9
